Type, YearCreated, YearReported,  Market, FromPool, To_Gas/Pool, AmountEmitted, AmountRetained
5, 2, 17, 300, 209, 1002, 0.13013365945824873, 0
5, 2, 17, 300, 209, 209, 0, 4.628813467844602
5, 2, 18, 300, 209, 1002, 0.1265751476969319, 0
5, 2, 18, 300, 209, 209, 0, 4.50223832014767
5, 2, 19, 300, 209, 1002, 0.12311394362686112, 0
5, 2, 19, 300, 209, 209, 0, 4.379124376520809
5, 2, 2, 300, 200, 1002, 8.43511903220918, 0
5, 2, 2, 300, 200, 200, 0, 20.364178767790825
5, 2, 3, 300, 200, 1002, 5.964529867790823, 0
5, 2, 3, 300, 200, 200, 0, 14.399648900000003
5, 2, 4, 300, 200, 1002, 4.21755951610459, 0
5, 2, 4, 300, 200, 200, 0, 10.182089383895413
5, 2, 5, 300, 200, 1002, 2.9822649338954115, 0
5, 2, 5, 300, 200, 200, 0, 7.199824450000001
5, 2, 6, 300, 200, 1002, 2.108779758052295, 0
5, 2, 6, 300, 200, 200, 0, 5.091044691947706
5, 2, 7, 300, 200, 1002, 1.4911324669477057, 0
5, 2, 7, 300, 200, 200, 0, 3.5999122250000006
5, 2, 8, 300, 200, 1002, 1.0543898790261474, 0
5, 2, 8, 300, 200, 200, 0, 2.545522345973853
5, 2, 9, 300, 200, 1002, 0.7455662334738529, 0
5, 2, 9, 300, 200, 200, 0, 1.7999561125000003
5, 2, 10, 300, 200, 1002, 0.5271949395130737, 0
5, 2, 10, 300, 200, 200, 0, 1.2727611729869266
5, 2, 11, 300, 200, 1002, 0.37278311673692643, 0
5, 2, 11, 300, 200, 200, 0, 0.8999780562500002
5, 2, 12, 300, 200, 1002, 0.26359746975653686, 0
5, 2, 12, 300, 200, 200, 0, 0.6363805864934633
5, 2, 13, 300, 200, 1002, 0.18639155836846322, 0
5, 2, 13, 300, 200, 200, 0, 0.4499890281250001
5, 2, 14, 300, 200, 1002, 0.13179873487826843, 0
5, 2, 14, 300, 200, 200, 0, 0.31819029324673165
5, 2, 15, 300, 200, 1002, 0.09319577918423161, 0
5, 2, 15, 300, 200, 200, 0, 0.22499451406250004
5, 2, 16, 300, 200, 1002, 0.06589936743913422, 0
5, 2, 16, 300, 200, 200, 0, 0.15909514662336582
5, 2, 17, 300, 200, 1002, 0.046597889592115804, 0
5, 2, 17, 300, 200, 200, 0, 0.11249725703125002
5, 2, 18, 300, 200, 1002, 0.03294968371956711, 0
5, 2, 18, 300, 200, 200, 0, 0.07954757331168291
5, 2, 19, 300, 200, 1002, 0.023298944796057902, 0
5, 2, 19, 300, 200, 200, 0, 0.05624862851562501
5, 3, 3, 300, 204, 1002, 0.5485860703435534, 0
5, 3, 3, 300, 204, 204, 0, 27.427096429656448
5, 3, 4, 300, 204, 1002, 0.5378286321085781, 0
5, 3, 4, 300, 204, 204, 0, 26.88926779754787
5, 3, 5, 300, 204, 1002, 0.5272821406760073, 0
5, 3, 5, 300, 204, 204, 0, 26.361985656871862
5, 3, 6, 300, 204, 1002, 0.5169424595076926, 0
5, 3, 6, 300, 204, 204, 0, 25.84504319736417
5, 3, 7, 300, 204, 1002, 0.5068055331805184, 0
5, 3, 7, 300, 204, 204, 0, 25.33823766418365
5, 3, 8, 300, 204, 1002, 0.4968673857957029, 0
5, 3, 8, 300, 204, 204, 0, 24.84137027838795
5, 3, 9, 300, 204, 1002, 0.4871241194194269, 0
5, 3, 9, 300, 204, 204, 0, 24.35424615896852
5, 3, 10, 300, 204, 1002, 0.47757191255398723, 0
5, 3, 10, 300, 204, 204, 0, 23.876674246414535
5, 3, 11, 300, 204, 1002, 0.4682070186389069, 0
5, 3, 11, 300, 204, 204, 0, 23.408467227775628
5, 3, 12, 300, 204, 1002, 0.4590257645814795, 0
5, 3, 12, 300, 204, 204, 0, 22.949441463194148
5, 3, 13, 300, 204, 1002, 0.45002454931610814, 0
5, 3, 13, 300, 204, 204, 0, 22.49941691387804
5, 3, 14, 300, 204, 1002, 0.44119984239189236, 0
5, 3, 14, 300, 204, 204, 0, 22.058217071486148
5, 3, 15, 300, 204, 1002, 0.4325481825879187, 0
5, 3, 15, 300, 204, 204, 0, 21.62566888889823
5, 3, 16, 300, 204, 1002, 0.42406617655571566, 0
5, 3, 16, 300, 204, 204, 0, 21.201602712342513
5, 3, 17, 300, 204, 1002, 0.4157504974882791, 0
5, 3, 17, 300, 204, 204, 0, 20.785852214854234
5, 3, 18, 300, 204, 1002, 0.40759788381529916, 0
5, 3, 18, 300, 204, 204, 0, 20.378254331038935
5, 3, 19, 300, 204, 1002, 0.39960513792384234, 0
5, 3, 19, 300, 204, 204, 0, 19.978649193115093
5, 3, 3, 300, 209, 1002, 0.284476495437616, 0
5, 3, 3, 300, 209, 209, 0, 10.118739754562384
5, 3, 4, 300, 209, 1002, 0.27669747070990525, 0
5, 3, 4, 300, 209, 209, 0, 9.842042283852479
5, 3, 5, 300, 209, 1002, 0.26913116382245583, 0
5, 3, 5, 300, 209, 209, 0, 9.572911120030023
5, 3, 6, 300, 209, 1002, 0.26177175799473673, 0
5, 3, 6, 300, 209, 209, 0, 9.311139362035286
5, 3, 7, 300, 209, 1002, 0.2546135955063935, 0
5, 3, 7, 300, 209, 209, 0, 9.056525766528893
5, 3, 8, 300, 209, 1002, 0.2476511733477249, 0
5, 3, 8, 300, 209, 209, 0, 8.808874593181168
5, 3, 9, 300, 209, 1002, 0.24087913898912028, 0
5, 3, 9, 300, 209, 209, 0, 8.567995454192047
5, 3, 10, 300, 209, 1002, 0.23429228626618048, 0
5, 3, 10, 300, 209, 209, 0, 8.333703167925867
5, 3, 11, 300, 209, 1002, 0.22788555137733546, 0
5, 3, 11, 300, 209, 209, 0, 8.105817616548531
5, 3, 12, 300, 209, 1002, 0.22165400899094223, 0
5, 3, 12, 300, 209, 209, 0, 7.884163607557589
5, 3, 13, 300, 209, 1002, 0.2155928684588071, 0
5, 3, 13, 300, 209, 209, 0, 7.668570739098782
5, 3, 14, 300, 209, 1002, 0.209697470133265, 0
5, 3, 14, 300, 209, 209, 0, 7.458873268965517
5, 3, 15, 300, 209, 1002, 0.2039632817849597, 0
5, 3, 15, 300, 209, 209, 0, 7.254909987180557
5, 3, 16, 300, 209, 1002, 0.19838589511858729, 0
5, 3, 16, 300, 209, 209, 0, 7.05652409206197
5, 3, 17, 300, 209, 1002, 0.19296102238390844, 0
5, 3, 17, 300, 209, 209, 0, 6.863563069678062
5, 3, 18, 300, 209, 1002, 0.18768449307944124, 0
5, 3, 18, 300, 209, 209, 0, 6.67587857659862
5, 3, 19, 300, 209, 1002, 0.18255225074628623, 0
5, 3, 19, 300, 209, 209, 0, 6.493326325852334
5, 3, 3, 300, 200, 1002, 16.024862461143606, 0
5, 3, 3, 300, 200, 200, 0, 38.6874402888564
5, 3, 4, 300, 200, 1002, 11.331288913856397, 0
5, 3, 4, 300, 200, 200, 0, 27.356151375000003
5, 3, 5, 300, 200, 1002, 8.012431230571803, 0
5, 3, 5, 300, 200, 200, 0, 19.3437201444282
5, 3, 6, 300, 200, 1002, 5.665644456928199, 0
5, 3, 6, 300, 200, 200, 0, 13.678075687500002
5, 3, 7, 300, 200, 1002, 4.006215615285901, 0
5, 3, 7, 300, 200, 200, 0, 9.6718600722141
5, 3, 8, 300, 200, 1002, 2.8328222284640994, 0
5, 3, 8, 300, 200, 200, 0, 6.839037843750001
5, 3, 9, 300, 200, 1002, 2.0031078076429507, 0
5, 3, 9, 300, 200, 200, 0, 4.83593003610705
5, 3, 10, 300, 200, 1002, 1.4164111142320497, 0
5, 3, 10, 300, 200, 200, 0, 3.4195189218750004
5, 3, 11, 300, 200, 1002, 1.0015539038214754, 0
5, 3, 11, 300, 200, 200, 0, 2.417965018053525
5, 3, 12, 300, 200, 1002, 0.7082055571160248, 0
5, 3, 12, 300, 200, 200, 0, 1.7097594609375002
5, 3, 13, 300, 200, 1002, 0.5007769519107377, 0
5, 3, 13, 300, 200, 200, 0, 1.2089825090267625
5, 3, 14, 300, 200, 1002, 0.3541027785580124, 0
5, 3, 14, 300, 200, 200, 0, 0.8548797304687501
5, 3, 15, 300, 200, 1002, 0.25038847595536884, 0
5, 3, 15, 300, 200, 200, 0, 0.6044912545133813
5, 3, 16, 300, 200, 1002, 0.1770513892790062, 0
5, 3, 16, 300, 200, 200, 0, 0.42743986523437505
5, 3, 17, 300, 200, 1002, 0.12519423797768442, 0
5, 3, 17, 300, 200, 200, 0, 0.30224562725669063
5, 3, 18, 300, 200, 1002, 0.0885256946395031, 0
5, 3, 18, 300, 200, 200, 0, 0.21371993261718752
5, 3, 19, 300, 200, 1002, 0.06259711898884221, 0
5, 3, 19, 300, 200, 200, 0, 0.15112281362834531
5, 4, 4, 300, 204, 1002, 0.012155351054192853, 0
5, 4, 4, 300, 204, 204, 0, 0.6077186489458073
5, 4, 5, 300, 204, 1002, 0.011916992034052165, 0
5, 4, 5, 300, 204, 204, 0, 0.5958016569117551
5, 4, 6, 300, 204, 1002, 0.011683307088911965, 0
5, 4, 6, 300, 204, 204, 0, 0.5841183498228432
5, 4, 7, 300, 204, 1002, 0.011454204563011827, 0
5, 4, 7, 300, 204, 204, 0, 0.5726641452598313
5, 4, 8, 300, 204, 1002, 0.01122959459790629, 0
5, 4, 8, 300, 204, 204, 0, 0.561434550661925
5, 4, 9, 300, 204, 1002, 0.011009389097217714, 0
5, 4, 9, 300, 204, 204, 0, 0.5504251615647073
5, 4, 10, 300, 204, 1002, 0.010793501692085594, 0
5, 4, 10, 300, 204, 204, 0, 0.5396316598726217
5, 4, 11, 300, 204, 1002, 0.010581847707289649, 0
5, 4, 11, 300, 204, 204, 0, 0.5290498121653321
5, 4, 12, 300, 204, 1002, 0.010374344128039614, 0
5, 4, 12, 300, 204, 204, 0, 0.5186754680372925
5, 4, 13, 300, 204, 1002, 0.010170909567413733, 0
5, 4, 13, 300, 204, 204, 0, 0.5085045584698787
5, 4, 14, 300, 204, 1002, 0.00997146423443912, 0
5, 4, 14, 300, 204, 204, 0, 0.4985330942354396
5, 4, 15, 300, 204, 1002, 0.009775929902794411, 0
5, 4, 15, 300, 204, 204, 0, 0.4887571643326452
5, 4, 16, 300, 204, 1002, 0.00958422988012908, 0
5, 4, 16, 300, 204, 204, 0, 0.47917293445251613
5, 4, 17, 300, 204, 1002, 0.00939628897798278, 0
5, 4, 17, 300, 204, 204, 0, 0.46977664547453335
5, 4, 18, 300, 204, 1002, 0.009212033482294879, 0
5, 4, 18, 300, 204, 204, 0, 0.46056461199223847
5, 4, 19, 300, 204, 1002, 0.009031391124492638, 0
5, 4, 19, 300, 204, 204, 0, 0.45153322086774583
5, 4, 4, 300, 200, 1002, 1.0167185902651124, 0
5, 4, 4, 300, 200, 200, 0, 2.454575809734888
5, 4, 5, 300, 200, 1002, 0.7189286097348879, 0
5, 4, 5, 300, 200, 200, 0, 1.7356472000000003
5, 4, 6, 300, 200, 1002, 0.5083592951325562, 0
5, 4, 6, 300, 200, 200, 0, 1.227287904867444
5, 4, 7, 300, 200, 1002, 0.35946430486744396, 0
5, 4, 7, 300, 200, 200, 0, 0.8678236000000001
5, 4, 8, 300, 200, 1002, 0.2541796475662781, 0
5, 4, 8, 300, 200, 200, 0, 0.613643952433722
5, 4, 9, 300, 200, 1002, 0.17973215243372198, 0
5, 4, 9, 300, 200, 200, 0, 0.43391180000000007
5, 4, 10, 300, 200, 1002, 0.12708982378313904, 0
5, 4, 10, 300, 200, 200, 0, 0.306821976216861
5, 4, 11, 300, 200, 1002, 0.08986607621686099, 0
5, 4, 11, 300, 200, 200, 0, 0.21695590000000003
5, 4, 12, 300, 200, 1002, 0.06354491189156952, 0
5, 4, 12, 300, 200, 200, 0, 0.1534109881084305
5, 4, 13, 300, 200, 1002, 0.044933038108430495, 0
5, 4, 13, 300, 200, 200, 0, 0.10847795000000002
5, 4, 14, 300, 200, 1002, 0.03177245594578476, 0
5, 4, 14, 300, 200, 200, 0, 0.07670549405421526
5, 4, 15, 300, 200, 1002, 0.022466519054215248, 0
5, 4, 15, 300, 200, 200, 0, 0.05423897500000001
5, 4, 16, 300, 200, 1002, 0.01588622797289238, 0
5, 4, 16, 300, 200, 200, 0, 0.03835274702710763
5, 4, 17, 300, 200, 1002, 0.011233259527107624, 0
5, 4, 17, 300, 200, 200, 0, 0.027119487500000004
5, 4, 18, 300, 200, 1002, 0.00794311398644619, 0
5, 4, 18, 300, 200, 200, 0, 0.019176373513553814
5, 4, 19, 300, 200, 1002, 0.005616629763553812, 0
5, 4, 19, 300, 200, 200, 0, 0.013559743750000002
5, 5, 5, 300, 204, 1002, 0.680338963914032, 0
5, 5, 5, 300, 204, 204, 0, 34.014211036085975
5, 5, 6, 300, 204, 1002, 0.6669979317974679, 0
5, 5, 6, 300, 204, 204, 0, 33.34721310428851
5, 5, 7, 300, 204, 1002, 0.653918509183498, 0
5, 5, 7, 300, 204, 204, 0, 32.69329459510501
5, 5, 8, 300, 204, 1002, 0.6410955660693034, 0
5, 5, 8, 300, 204, 204, 0, 32.052199029035705
5, 5, 9, 300, 204, 1002, 0.628524073048375, 0
5, 5, 9, 300, 204, 204, 0, 31.42367495598733
5, 5, 10, 300, 204, 1002, 0.6161990993377309, 0
5, 5, 10, 300, 204, 204, 0, 30.8074758566496
5, 5, 11, 300, 204, 1002, 0.6041158108440499, 0
5, 5, 11, 300, 204, 204, 0, 30.20336004580555
5, 5, 12, 300, 204, 1002, 0.5922694682676628, 0
5, 5, 12, 300, 204, 204, 0, 29.611090577537887
5, 5, 13, 300, 204, 1002, 0.5806554252436378, 0
5, 5, 13, 300, 204, 204, 0, 29.03043515229425
5, 5, 14, 300, 204, 1002, 0.5692691265194476, 0
5, 5, 14, 300, 204, 204, 0, 28.4611660257748
5, 5, 15, 300, 204, 1002, 0.5581061061682853, 0
5, 5, 15, 300, 204, 204, 0, 27.903059919606516
5, 5, 16, 300, 204, 1002, 0.5471619858374375, 0
5, 5, 16, 300, 204, 204, 0, 27.35589793376908
5, 5, 17, 300, 204, 1002, 0.5364324730310202, 0
5, 5, 17, 300, 204, 204, 0, 26.81946546073806
5, 5, 18, 300, 204, 1002, 0.5259133594263901, 0
5, 5, 18, 300, 204, 204, 0, 26.29355210131167
5, 5, 19, 300, 204, 1002, 0.5156005192235078, 0
5, 5, 19, 300, 204, 204, 0, 25.77795158208816
5, 5, 5, 300, 209, 1002, 0.3579312884184702, 0
5, 5, 5, 300, 209, 209, 0, 12.731503711581531
5, 5, 6, 300, 209, 1002, 0.3481436385138803, 0
5, 5, 6, 300, 209, 209, 0, 12.383360073067651
5, 5, 7, 300, 209, 1002, 0.33862363241063775, 0
5, 5, 7, 300, 209, 209, 0, 12.044736440657013
5, 5, 8, 300, 209, 1002, 0.32936395137492624, 0
5, 5, 8, 300, 209, 209, 0, 11.715372489282087
5, 5, 9, 300, 209, 1002, 0.3203574768040838, 0
5, 5, 9, 300, 209, 209, 0, 11.395015012478003
5, 5, 10, 300, 209, 1002, 0.31159728475400605, 0
5, 5, 10, 300, 209, 209, 0, 11.083417727723997
5, 5, 11, 300, 209, 1002, 0.3030766406162204, 0
5, 5, 11, 300, 209, 209, 0, 10.780341087107777
5, 5, 12, 300, 209, 1002, 0.2947889939404611, 0
5, 5, 12, 300, 209, 209, 0, 10.485552093167316
5, 5, 13, 300, 209, 1002, 0.2867279733988788, 0
5, 5, 13, 300, 209, 209, 0, 10.198824119768437
5, 5, 14, 300, 209, 1002, 0.2788873818879196, 0
5, 5, 14, 300, 209, 209, 0, 9.919936737880517
5, 5, 15, 300, 209, 1002, 0.2712611917641432, 0
5, 5, 15, 300, 209, 209, 0, 9.648675546116374
5, 5, 16, 300, 209, 1002, 0.26384354021034717, 0
5, 5, 16, 300, 209, 209, 0, 9.384832005906027
5, 5, 17, 300, 209, 1002, 0.2566287247283672, 0
5, 5, 17, 300, 209, 209, 0, 9.12820328117766
5, 5, 18, 300, 209, 1002, 0.2496111987551508, 0
5, 5, 18, 300, 209, 209, 0, 8.878592082422509
5, 5, 19, 300, 209, 1002, 0.24278556739870893, 0
5, 5, 19, 300, 209, 209, 0, 8.6358065150238
5, 5, 5, 300, 200, 1002, 19.334765032717158, 0
5, 5, 5, 300, 200, 200, 0, 46.67825196728286
5, 5, 6, 300, 200, 1002, 13.671743467282852, 0
5, 5, 6, 300, 200, 200, 0, 33.00650850000001
5, 5, 7, 300, 200, 1002, 9.667382516358579, 0
5, 5, 7, 300, 200, 200, 0, 23.33912598364143
5, 5, 8, 300, 200, 1002, 6.835871733641426, 0
5, 5, 8, 300, 200, 200, 0, 16.503254250000005
5, 5, 9, 300, 200, 1002, 4.8336912581792895, 0
5, 5, 9, 300, 200, 200, 0, 11.669562991820715
5, 5, 10, 300, 200, 1002, 3.417935866820713, 0
