Type, YearCreated, YearReported,  Market, FromPool, To_Gas/Pool, AmountEmitted, AmountRetained
5, 1, 18, 300, 205, 1005, 0.00047359687856046717, 0
5, 1, 18, 300, 205, 205, 0, 0.255038782066109
5, 1, 19, 300, 205, 1000, 0.001876960310872855, 0
5, 1, 19, 300, 205, 1005, 0.00046924007771821375, 0
5, 1, 19, 300, 205, 205, 0, 0.25269258167751796
5, 1, 1, 300, 206, 1000, 0.027221395991044117, 0
5, 1, 1, 300, 206, 206, 0, 1.4787732540089564
5, 1, 2, 300, 206, 1000, 0.02672935944914734, 0
5, 1, 2, 300, 206, 206, 0, 1.452043894559809
5, 1, 3, 300, 206, 1000, 0.026246216645052778, 0
5, 1, 3, 300, 206, 206, 0, 1.4257976779147563
5, 1, 4, 300, 206, 1000, 0.025771806821245136, 0
5, 1, 4, 300, 206, 206, 0, 1.4000258710935112
5, 1, 5, 300, 206, 1000, 0.025305972125958753, 0
5, 1, 5, 300, 206, 206, 0, 1.3747198989675524
5, 1, 6, 300, 206, 1000, 0.024848557560655404, 0
5, 1, 6, 300, 206, 206, 0, 1.349871341406897
5, 1, 7, 300, 206, 1000, 0.024399410928451104, 0
5, 1, 7, 300, 206, 206, 0, 1.325471930478446
5, 1, 8, 300, 206, 1000, 0.023958382783476395, 0
5, 1, 8, 300, 206, 206, 0, 1.3015135476949695
5, 1, 9, 300, 206, 1000, 0.02352532638114857, 0
5, 1, 9, 300, 206, 206, 0, 1.277988221313821
5, 1, 10, 300, 206, 1000, 0.023100097629346728, 0
5, 1, 10, 300, 206, 206, 0, 1.2548881236844742
5, 1, 11, 300, 206, 1000, 0.02268255504046679, 0
5, 1, 11, 300, 206, 206, 0, 1.2322055686440074
5, 1, 12, 300, 206, 1000, 0.02227255968434405, 0
5, 1, 12, 300, 206, 206, 0, 1.2099330089596634
5, 1, 13, 300, 206, 1000, 0.02186997514202793, 0
5, 1, 13, 300, 206, 206, 0, 1.1880630338176354
5, 1, 14, 300, 206, 1000, 0.021474667460386287, 0
5, 1, 14, 300, 206, 206, 0, 1.1665883663572492
5, 1, 15, 300, 206, 1000, 0.021086505107541953, 0
5, 1, 15, 300, 206, 206, 0, 1.1455018612497072
5, 1, 16, 300, 206, 1000, 0.020705358929101525, 0
5, 1, 16, 300, 206, 206, 0, 1.1247965023206057
5, 1, 17, 300, 206, 1000, 0.02033110210518374, 0
5, 1, 17, 300, 206, 206, 0, 1.104465400215422
5, 1, 18, 300, 206, 1000, 0.019963610108223895, 0
5, 1, 18, 300, 206, 206, 0, 1.084501790107198
5, 1, 19, 300, 206, 1000, 0.019602760661536323, 0
5, 1, 19, 300, 206, 206, 0, 1.0648990294456617
5, 1, 1, 300, 207, 1000, 0.08599241335964214, 0
5, 1, 1, 300, 207, 207, 0, 3.678994211640359
5, 1, 2, 300, 207, 1000, 0.08402834392409186, 0
5, 1, 2, 300, 207, 207, 0, 3.594965867716267
5, 1, 3, 300, 207, 1000, 0.08210913389644814, 0
5, 1, 3, 300, 207, 207, 0, 3.512856733819819
5, 1, 4, 300, 207, 1000, 0.08023375868641613, 0
5, 1, 4, 300, 207, 207, 0, 3.4326229751334028
5, 1, 5, 300, 207, 1000, 0.0784012171053794, 0
5, 1, 5, 300, 207, 207, 0, 3.3542217580280234
5, 1, 6, 300, 207, 1000, 0.07661053083189939, 0
5, 1, 6, 300, 207, 207, 0, 3.277611227196124
5, 1, 7, 300, 207, 1000, 0.07486074388942887, 0
5, 1, 7, 300, 207, 207, 0, 3.202750483306695
5, 1, 8, 300, 207, 1000, 0.0731509221359592, 0
5, 1, 8, 300, 207, 207, 0, 3.129599561170736
5, 1, 9, 300, 207, 1000, 0.0714801527653095, 0
5, 1, 9, 300, 207, 207, 0, 3.0581194084054264
5, 1, 10, 300, 207, 1000, 0.06984754381982494, 0
5, 1, 10, 300, 207, 207, 0, 2.9882718645856015
5, 1, 11, 300, 207, 1000, 0.06825222371419004, 0
5, 1, 11, 300, 207, 207, 0, 2.9200196408714114
